Class Name,Confidence,Depth (mm),Depth (in),X,Y,Z,Horizontal Angle,Direction
BlueZone,0.75,776.85,30.83,-403.69,19.54,776.85,-27.46,left
SmallBox,0.64,727.22,28.86,-317.15,555.07,727.22,-23.56,left
SmallBox,0.79,691.55,27.44,-170.35,486.88,691.55,-13.84,left
BlueZone,0.75,733.76,29.12,-318.56,-35.40,733.76,-23.47,left
BlueZone,0.82,737.21,29.25,-326.03,-38.66,737.21,-23.86,left
SmallBox,0.73,696.52,27.64,-179.31,488.64,696.52,-14.44,left
SmallBox,0.81,697.53,27.68,-180.63,494.43,697.53,-14.52,left
BlueZone,0.81,737.99,29.29,-327.31,-35.65,737.99,-23.92,left
BlueZone,0.79,733.04,29.09,-317.23,-39.06,733.04,-23.40,left
SmallBox,0.75,690.04,27.38,-167.62,483.40,690.04,-13.65,left
YellowLine,0.70,860.43,34.14,-544.43,11.22,860.43,-32.32,left
YellowLine,0.75,839.99,33.33,-500.47,-74.89,839.99,-30.79,left
BlueZone,0.73,739.47,29.34,-263.23,-58.15,739.47,-19.59,left
SmallBox,0.70,696.37,27.63,-124.26,465.80,696.37,-10.12,left
GreenZone,0.67,1198.64,47.57,-851.80,1211.65,1198.64,-35.40,left
BlueZone,0.81,738.23,29.29,-266.81,-108.23,738.23,-19.87,left
SmallBox,0.74,691.87,27.46,-112.20,458.94,691.87,-9.21,left
BlueZone,0.72,741.57,29.43,-267.27,-63.84,741.57,-19.82,left
BlueZone,0.79,759.85,30.15,-183.62,-11.85,759.85,-13.59,left
SmallBox,0.62,681.90,27.06,-63.83,488.41,681.90,-5.35,left
SmallBox,0.69,767.25,30.45,-114.99,468.68,767.25,-8.52,left
BlueZone,0.60,778.59,30.90,-269.16,-82.83,778.59,-19.07,left
BlueZone,0.73,837.14,33.22,-320.38,-122.04,837.14,-20.94,left
YellowLine,0.65,1033.53,41.01,-632.52,138.17,1033.53,-31.47,left
BlueZone,0.74,774.35,30.73,-322.67,-121.79,774.35,-22.62,left
YellowLine,0.62,1027.58,40.78,-623.93,130.87,1027.58,-31.27,left
YellowLine,0.71,996.60,39.55,-591.23,63.33,996.60,-30.68,left
BlueZone,0.68,785.59,31.17,-326.56,-135.74,785.59,-22.57,left
BlueZone,0.74,786.68,31.22,-334.42,-155.27,786.68,-23.03,left
SmallBox,0.61,795.33,31.56,-164.64,408.99,795.33,-11.70,left
SmallBox,0.68,797.98,31.67,-164.39,418.75,797.98,-11.64,left
BlueZone,0.64,783.51,31.09,-332.56,-148.08,783.51,-23.00,left
SmallBox,0.69,808.27,32.07,-173.89,431.31,808.27,-12.14,left
BlueZone,0.67,775.65,30.78,-335.77,-140.92,775.65,-23.41,left
YellowLine,0.61,1028.63,40.82,-631.99,115.20,1028.63,-31.57,left
BlueZone,0.76,782.58,31.05,-346.57,-140.77,782.58,-23.89,left
BlueZone,0.68,788.99,31.31,-356.87,-151.14,788.99,-24.34,left
BlueZone,0.65,775.92,30.79,-335.16,-148.64,775.92,-23.36,left
SmallBox,0.61,765.77,30.39,-143.59,351.95,765.77,-10.62,left
SmallBox,0.61,794.42,31.52,-48.62,64.37,794.42,-3.50,left
SmallBox,0.70,794.33,31.52,-80.74,-67.41,794.33,-5.80,left
BlueZone,0.82,784.20,31.12,-100.70,-167.75,784.20,-7.32,left
BlueZone,0.84,769.31,30.53,-82.66,-173.71,769.31,-6.13,left
BigBox,0.73,1031.31,40.92,-477.95,-444.12,1031.31,-24.86,left
BlueZone,0.83,795.22,31.56,-113.59,-175.05,795.22,-8.13,left
BlueZone,0.81,805.88,31.98,-131.59,-189.12,805.88,-9.27,left
BlueZone,0.81,815.40,32.36,-134.95,-164.54,815.40,-9.40,left
BlueZone,0.83,805.90,31.98,-127.21,-172.13,805.90,-8.97,left
Rocket,0.73,1048.27,41.60,-505.12,-451.01,1048.27,-25.73,left
BlueZone,0.81,771.37,30.61,-89.03,-182.38,771.37,-6.58,left
SmallBox,0.69,753.53,29.90,-62.82,-162.91,753.53,-4.77,left
BlueZone,0.76,740.00,29.36,-2.30,-103.26,740.00,-0.18,left
SmallBox,0.83,734.66,29.15,32.10,-62.76,734.66,2.50,right
BlueZone,0.68,734.61,29.15,32.15,-62.86,734.61,2.51,right
SmallBox,0.84,767.10,30.44,-6.59,-135.52,767.10,-0.49,left
BigBox,0.81,1017.50,40.38,-325.30,-468.82,1017.50,-17.73,left
SmallBox,0.76,741.88,29.44,10.58,-191.21,741.88,0.82,right
BigBox,0.66,1048.28,41.60,-383.42,-552.57,1048.28,-20.09,left
SmallBox,0.85,734.75,29.16,14.53,-224.99,734.75,1.13,right
BigBox,0.82,1113.80,44.20,-503.89,-622.73,1113.80,-24.34,left
RedZone,0.65,590.37,23.43,164.42,-79.26,590.37,15.56,right
BlueZone,0.82,688.75,27.33,81.91,-147.24,688.75,6.78,right
BigBox,0.77,936.33,37.16,-213.49,-475.62,936.33,-12.84,left
SmallBox,0.82,725.05,28.77,122.68,-37.51,725.05,9.60,right
SmallBox,0.80,731.29,29.02,147.31,54.88,731.29,11.39,right
BlueZone,0.78,769.69,30.54,136.27,230.09,769.69,10.04,right
BlueZone,0.77,622.30,24.69,178.16,-283.99,622.30,15.98,right
SmallBox,0.76,769.66,30.54,136.26,229.81,769.66,10.04,right
SmallBox,0.77,794.64,31.53,91.48,331.80,794.64,6.57,right
BlueZone,0.67,794.30,31.52,91.85,332.04,794.30,6.60,right
BlueZone,0.64,702.84,27.89,130.44,-232.25,702.84,10.51,right
SmallBox,0.79,809.46,32.12,58.27,394.62,809.46,4.12,right
BlueZone,0.73,777.48,30.85,77.91,-199.84,777.48,5.72,right
RedZone,0.67,688.74,27.33,244.12,445.64,688.74,19.52,right
BlueZone,0.82,815.58,32.36,38.92,-150.98,815.58,2.73,right
BlueZone,0.73,813.92,32.30,44.44,452.91,813.92,3.13,right
YellowLine,0.71,964.47,38.27,-164.19,-160.35,964.47,-9.66,left
SmallBox,0.86,782.40,31.05,88.58,516.10,782.40,6.46,right
BlueZone,0.78,810.53,32.16,53.07,-69.71,810.53,3.75,right
YellowLine,0.64,951.28,37.75,-155.19,-122.57,951.28,-9.27,left
BlueZone,0.80,738.46,29.30,89.52,12.40,738.46,6.91,right
SmallBox,0.71,754.46,29.94,127.02,558.36,754.46,9.56,right
BlueZone,0.82,741.19,29.41,128.65,78.20,741.19,9.85,right
SmallBox,0.68,734.88,29.16,155.20,572.23,734.88,11.93,right
BlueZone,0.79,733.82,29.12,138.35,113.79,733.82,10.68,right
SmallBox,0.68,731.14,29.01,160.53,590.70,731.14,12.38,right
SmallBox,0.82,730.47,28.99,161.75,597.90,730.47,12.49,right
BlueZone,0.78,715.61,28.40,126.01,125.75,715.61,9.99,right
BlueZone,0.83,706.73,28.04,154.02,153.96,706.73,12.29,right
BlueZone,0.83,737.25,29.26,207.24,140.51,737.25,15.70,right
SmallBox,0.81,741.93,29.44,195.16,629.56,741.93,14.74,right
BlueZone,0.83,710.02,28.18,260.12,70.83,710.02,20.12,right
SmallBox,0.74,764.69,30.34,217.76,615.00,764.69,15.90,right
BlueZone,0.74,797.06,31.63,231.38,492.76,797.06,16.19,right
BlueZone,0.87,806.09,31.99,223.60,432.63,806.09,15.50,right
BlueZone,0.85,718.37,28.51,262.73,-246.98,718.37,20.09,right
BlueZone,0.74,836.56,33.20,202.47,364.01,836.56,13.61,right
YellowLine,0.63,871.94,34.60,128.45,-211.94,871.94,8.38,right
BlueZone,0.85,730.42,28.98,233.70,-284.09,730.42,17.74,right
BlueZone,0.81,800.98,31.78,159.30,315.95,800.98,11.25,right
YellowLine,0.76,923.23,36.64,88.57,-254.10,923.23,5.48,right
YellowLine,0.67,926.00,36.75,84.73,-235.58,926.00,5.23,right
YellowLine,0.66,925.51,36.73,86.77,-248.61,925.51,5.36,right
BlueZone,0.64,775.01,30.75,147.69,370.62,775.01,10.79,right
BlueZone,0.86,719.78,28.56,193.11,344.98,719.78,15.02,right
BlueZone,0.85,687.68,27.29,221.79,388.49,687.68,17.88,right
YellowLine,0.92,854.75,33.92,69.92,33.91,854.75,4.68,right
BlueZone,0.84,652.80,25.90,162.06,358.32,652.80,13.94,right
BlueZone,0.70,609.39,24.18,119.16,304.42,609.39,11.06,right
BlueZone,0.70,513.51,20.38,26.97,247.48,513.51,3.01,right
YellowLine,0.63,744.90,29.56,-86.86,-144.00,744.90,-6.65,left
RedZone,0.91,419.15,16.63,100.32,330.65,419.15,13.46,right
YellowLine,0.81,531.72,21.10,-272.46,-175.09,531.72,-27.13,left
SmallBox,0.67,474.16,18.82,-112.91,189.07,474.16,-13.39,left
RedZone,0.89,414.35,16.44,116.85,251.00,414.35,15.75,right
SmallBox,0.74,468.20,18.58,-107.49,116.36,468.20,-12.93,left
YellowLine,0.70,532.11,21.12,-294.35,-212.54,532.11,-28.95,left
RedZone,0.93,417.40,16.56,92.97,226.50,417.40,12.56,right
YellowLine,0.79,563.27,22.35,-364.77,-297.92,563.27,-32.93,left
RedZone,0.92,417.09,16.55,103.77,216.99,417.09,13.97,right
YellowLine,0.81,562.87,22.34,-348.23,-305.58,562.87,-31.74,left
RedZone,0.92,417.65,16.57,106.94,225.81,417.65,14.36,right
YellowLine,0.85,552.41,21.92,-331.37,-291.44,552.41,-30.96,left
RedZone,0.93,413.73,16.42,97.11,228.36,413.73,13.21,right
YellowLine,0.85,563.40,22.36,-355.64,-302.98,563.40,-32.26,left
SmallBox,0.76,431.59,17.13,-16.64,155.76,431.59,-2.21,left
YellowLine,0.81,484.47,19.22,-32.99,-92.61,484.47,-3.90,left
SmallBox,0.68,491.78,19.52,55.52,228.73,491.78,6.44,right
GreenZone,0.67,1073.72,42.61,-747.32,378.44,1073.72,-34.84,left
Rocket,0.65,701.70,27.85,-363.96,-203.59,701.70,-27.41,left
YellowLine,0.93,486.32,19.30,35.32,-98.46,486.32,4.15,right
SmallBox,0.68,525.55,20.86,130.21,196.52,525.55,13.92,right
YellowLine,0.94,515.30,20.45,42.27,-111.05,515.30,4.69,right
GreenZone,0.86,1091.05,43.30,-389.41,287.38,1091.05,-19.64,left
SmallBox,0.77,540.96,21.47,136.78,195.01,540.96,14.19,right
YellowLine,0.63,876.21,34.77,-186.11,-285.54,876.21,-11.99,left
YellowLine,0.93,767.56,30.46,80.73,167.67,767.56,6.00,right
BlueZone,0.87,576.48,22.88,165.77,396.23,576.48,16.04,right
SmallBox,0.64,591.26,23.46,119.42,474.74,591.26,11.42,right
YellowLine,0.83,654.63,25.98,87.46,57.38,654.63,7.61,right
YellowLine,0.80,1115.30,44.26,-549.79,759.04,1115.30,-26.24,left
YellowLine,0.69,669.81,26.58,45.03,300.67,669.81,3.85,right
YellowLine,0.77,1138.62,45.18,-582.44,766.52,1138.62,-27.09,left
YellowLine,0.61,659.61,26.18,32.17,232.41,659.61,2.79,right
BlueZone,0.90,551.87,21.90,168.13,-20.91,551.87,16.94,right
YellowLine,0.73,732.21,29.06,-43.87,71.57,732.21,-3.43,left
BlueZone,0.68,584.67,23.20,97.89,477.91,584.67,9.50,right
SmallBox,0.60,584.70,23.20,97.86,477.94,584.70,9.50,right
BlueZone,0.88,540.75,21.46,201.50,-52.78,540.75,20.44,right
YellowLine,0.75,677.27,26.88,19.86,93.90,677.27,1.68,right
YellowLine,0.64,714.99,28.37,-2.37,391.09,714.99,-0.19,left
SmallBox,0.60,585.26,23.22,137.79,478.95,585.26,13.25,right
BlueZone,0.89,621.84,24.68,177.08,494.87,621.84,15.90,right
BlueZone,0.90,659.01,26.15,195.76,532.88,659.01,16.54,right
GreenZone,0.65,1099.78,43.64,-234.02,1118.37,1099.78,-12.01,left
BlueZone,0.88,663.11,26.31,192.69,539.61,663.11,16.20,right
BlueZone,0.91,657.98,26.11,201.75,559.96,657.98,17.05,right
YellowLine,0.65,1142.68,45.34,-332.00,556.50,1142.68,-16.20,left
BlueZone,0.86,650.38,25.81,208.12,557.62,650.38,17.74,right
YellowLine,0.86,757.94,30.08,106.09,462.09,757.94,7.97,right
YellowLine,0.66,677.14,26.87,122.93,-50.58,677.15,10.29,right
Rocket,0.66,749.94,29.76,151.23,565.96,749.94,11.40,right
BlueZone,0.63,758.23,30.09,-181.00,-438.60,758.23,-13.43,left
YellowLine,0.89,804.89,31.94,151.95,253.27,804.89,10.69,right
YellowLine,0.88,799.73,31.74,149.83,313.28,799.73,10.61,right
YellowLine,0.88,790.87,31.38,151.03,342.33,790.87,10.81,right
StartZone,0.65,1934.12,76.75,-1013.91,-772.25,1934.12,-27.66,left
YellowLine,0.89,796.48,31.61,151.80,315.10,796.48,10.79,right
YellowLine,0.89,772.95,30.67,163.88,252.39,772.95,11.97,right
Rocket,0.68,1684.52,66.85,-700.32,-716.17,1684.52,-22.57,left
YellowLine,0.83,773.35,30.69,161.81,238.91,773.35,11.82,right
Rocket,0.61,1702.29,67.55,-710.16,-748.20,1702.29,-22.65,left
YellowLine,0.88,772.47,30.65,165.18,248.79,772.47,12.07,right
BlueZone,0.70,935.01,37.10,-249.72,-551.43,935.01,-14.95,left
Rocket,0.66,1718.54,68.20,-711.63,-748.97,1718.54,-22.49,left
YellowLine,0.90,812.31,32.23,170.22,270.68,812.31,11.83,right
YellowLine,0.87,803.27,31.88,168.68,282.50,803.27,11.86,right
Rocket,0.81,1767.85,70.15,-754.54,-747.08,1767.85,-23.11,left
YellowLine,0.87,814.06,32.30,165.67,276.87,814.06,11.50,right
Rocket,0.71,1794.16,71.20,-780.27,-772.76,1794.16,-23.50,left
BlueZone,0.63,956.43,37.95,-277.94,-563.38,956.43,-16.20,left
YellowLine,0.89,808.29,32.07,166.37,287.67,808.29,11.63,right
Rocket,0.64,1769.20,70.21,-753.86,-739.87,1769.20,-23.08,left
YellowLine,0.91,816.68,32.41,175.58,281.24,816.68,12.13,right
Rocket,0.62,1773.06,70.36,-754.88,-738.75,1773.06,-23.06,left
YellowLine,0.92,813.60,32.29,174.00,291.18,813.60,12.07,right
Rocket,0.71,1770.88,70.27,-751.53,-724.28,1770.88,-23.00,left
YellowLine,0.90,816.71,32.41,171.53,294.65,816.71,11.86,right
Rocket,0.79,1801.84,71.50,-778.16,-729.03,1801.84,-23.36,left
YellowLine,0.88,815.20,32.35,167.31,300.33,815.20,11.60,right
Rocket,0.74,1809.82,71.82,-784.63,-721.60,1809.82,-23.44,left
YellowLine,0.87,808.47,32.08,164.32,310.56,808.47,11.49,right
Rocket,0.72,1819.02,72.18,-792.11,-706.95,1819.02,-23.53,left
StartZone,0.75,1938.97,76.94,-988.26,-867.14,1938.97,-27.01,left
YellowLine,0.70,813.31,32.27,153.41,333.96,813.31,10.68,right
YellowLine,0.91,821.88,32.61,150.26,360.93,821.88,10.36,right
YellowLine,0.91,828.77,32.89,143.30,355.33,828.77,9.81,right
YellowLine,0.80,823.63,32.68,165.15,378.50,823.63,11.34,right
SmallBox,0.70,1263.18,50.13,159.35,-606.24,1263.18,7.19,right
SmallBox,0.73,1200.13,47.62,69.63,-464.79,1200.13,3.32,right
YellowLine,0.80,855.21,33.94,212.37,579.00,855.21,13.95,right
YellowLine,0.75,847.21,33.62,174.83,449.40,847.21,11.66,right
YellowLine,0.84,834.97,33.13,132.45,305.71,834.97,9.01,right
StartZone,0.66,2822.06,111.99,-2150.33,-1606.84,2822.06,-37.31,left
Rocket,0.61,1667.85,66.18,-911.54,-920.27,1667.84,-28.66,left
YellowLine,0.87,820.20,32.55,127.43,268.29,820.20,8.83,right
YellowLine,0.89,817.08,32.42,131.68,260.62,817.08,9.15,right
Rocket,0.70,1646.60,65.34,-886.66,-967.24,1646.60,-28.30,left
YellowLine,0.68,748.77,29.71,269.43,748.02,748.77,19.79,right
BlueZone,0.78,725.70,28.80,249.21,725.62,725.70,18.95,right
YellowLine,0.76,795.82,31.58,92.61,74.12,795.82,6.64,right
YellowLine,0.63,827.88,32.85,146.00,705.70,827.88,10.00,right
YellowLine,0.95,817.35,32.43,149.54,674.61,817.35,10.37,right
YellowLine,0.93,816.92,32.42,142.23,652.94,816.92,9.88,right
BlueZone,0.80,719.50,28.55,247.95,698.16,719.50,19.02,right
YellowLine,0.66,768.61,30.50,70.18,-62.92,768.61,5.22,right
YellowLine,0.94,835.57,33.16,152.70,662.75,835.57,10.36,right
BlueZone,0.78,722.57,28.67,255.94,697.62,722.57,19.50,right
YellowLine,0.93,837.52,33.23,153.87,652.76,837.52,10.41,right
BlueZone,0.80,722.63,28.68,255.98,693.07,722.63,19.51,right
YellowLine,0.90,895.89,35.55,160.94,707.25,895.89,10.18,right
BlueZone,0.88,721.95,28.65,255.79,694.93,721.95,19.51,right
SmallBox,0.60,1960.45,77.80,-1144.65,-1116.58,1960.45,-30.28,left
YellowLine,0.91,907.94,36.03,157.81,714.84,907.94,9.86,right
BlueZone,0.90,719.93,28.57,250.55,693.61,719.93,19.19,right
YellowLine,0.87,864.41,34.30,147.06,661.02,864.41,9.65,right
BlueZone,0.86,720.83,28.60,248.37,684.32,720.83,19.01,right
BlueZone,0.90,724.97,28.77,241.72,684.27,724.97,18.44,right
YellowLine,0.75,845.60,33.56,139.86,632.56,845.60,9.39,right
BlueZone,0.89,721.89,28.65,239.80,689.33,721.89,18.38,right
BlueZone,0.91,720.10,28.58,242.79,691.21,720.10,18.63,right
YellowLine,0.64,911.82,36.18,151.31,710.48,911.82,9.42,right
BlueZone,0.91,701.59,27.84,229.05,668.65,701.59,18.08,right
BlueZone,0.90,695.08,27.58,234.71,662.63,695.08,18.66,right
BlueZone,0.90,697.39,27.67,231.74,669.00,697.39,18.38,right
BlueZone,0.91,695.18,27.59,234.66,663.66,695.18,18.65,right
BlueZone,0.92,693.25,27.51,237.86,658.32,693.25,18.94,right
BlueZone,0.91,694.44,27.56,234.31,668.42,694.44,18.65,right
BlueZone,0.91,692.99,27.50,237.21,663.36,692.99,18.90,right
BlueZone,0.91,693.19,27.51,236.88,664.67,693.19,18.87,right
BigBox,0.62,415.66,16.49,143.26,-231.25,415.66,19.02,right
BlueZone,0.91,696.14,27.62,234.16,674.19,696.14,18.59,right
BlueZone,0.91,699.49,27.76,232.50,678.28,699.49,18.39,right
Nozzle,0.66,415.16,16.47,130.95,-219.29,415.16,17.51,right
BlueZone,0.78,687.82,27.29,218.82,653.94,687.82,17.65,right
BlueZone,0.61,595.79,23.64,234.62,33.54,595.79,21.49,right
BlueZone,0.91,685.54,27.20,215.99,605.72,685.54,17.49,right
YellowLine,0.87,782.93,31.07,158.51,503.52,782.93,11.45,right
BlueZone,0.79,687.52,27.28,256.35,556.41,687.52,20.45,right
YellowLine,0.72,738.65,29.31,79.76,-138.75,738.65,6.16,right
YellowLine,0.89,763.86,30.31,165.46,560.35,763.86,12.22,right
BlueZone,0.83,670.70,26.62,247.36,595.86,670.70,20.24,right
YellowLine,0.66,801.35,31.80,155.65,567.25,801.35,10.99,right
YellowLine,0.88,804.08,31.91,155.49,590.53,804.08,10.94,right
BlueZone,0.75,667.25,26.48,245.50,610.18,667.25,20.20,right
YellowLine,0.79,801.95,31.82,168.95,657.62,801.95,11.90,right
BlueZone,0.78,647.38,25.69,247.38,627.33,647.38,20.91,right
YellowLine,0.73,746.63,29.63,203.59,690.08,746.63,15.25,right
YellowLine,0.82,743.03,29.49,111.48,160.29,743.03,8.53,right
YellowLine,0.81,684.17,27.15,231.38,666.44,684.17,18.69,right
YellowLine,0.82,673.23,26.72,232.85,660.67,673.23,19.08,right
Nozzle,0.63,1657.96,65.79,-976.54,-944.94,1657.96,-30.50,left
Rocket,0.76,1729.92,68.65,-922.36,-371.20,1729.92,-28.07,left
