                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7974,                 6.1582,                 4.6005,                 4.1675,                0.36694,                0.04843,                0.02527,                 0.0077,                0.36924,                0.06247,                0.03296,                0.01342,                 3.1201,                 3.5208,                 4.1789,                 3.8241,              0.0033079,              0.0033079,              0.0033079
                      2,                 2.8565,                 3.6063,                 2.9938,                 3.2422,                0.63508,                0.25103,                0.25976,                0.13887,                0.64527,                0.26067,                0.26542,                0.17108,                 2.1143,                 2.5618,                 2.7536,                 2.7994,              0.0066193,              0.0066193,              0.0066193
                      3,                 2.2193,                 3.2967,                 2.3582,                 2.5426,                0.70852,                0.43037,                0.44722,                0.29161,                 0.7131,                0.44503,                0.45507,                0.31511,                 1.5144,                 2.2325,                 1.8559,                 2.1034,              0.0099087,              0.0099087,              0.0099087
                      4,                  1.901,                  3.069,                 1.9806,                 2.1774,                0.68211,                0.52987,                0.56053,                0.38052,                0.69105,                0.53827,                 0.5659,                0.41796,                 1.2787,                 1.8088,                 1.5513,                 1.8365,               0.009901,               0.009901,               0.009901
                      5,                 1.7323,                 2.9284,                 1.8069,                 1.9933,                 0.6911,                0.58179,                0.62979,                0.44797,                0.69517,                0.59017,                 0.6372,                 0.4835,                 1.0819,                 1.6123,                 1.2299,                 1.6218,               0.009901,               0.009901,               0.009901
                      6,                 1.6175,                 2.8543,                 1.6947,                 1.8664,                0.72581,                0.63775,                0.66997,                0.48869,                0.73303,                0.64974,                0.67665,                0.52113,                0.99967,                 1.4954,                 1.1323,                 1.5249,               0.009868,               0.009868,               0.009868
                      7,                 1.5352,                 2.7508,                 1.5929,                 1.7855,                0.74146,                0.64718,                 0.6792,                 0.5017,                0.74818,                0.64621,                 0.6817,                0.52295,                0.97068,                 1.4649,                 1.0649,                 1.4658,               0.009835,               0.009835,               0.009835
                      8,                 1.4834,                 2.7254,                 1.5286,                 1.7432,                0.76502,                0.67625,                0.70958,                0.54182,                0.77785,                0.68527,                0.71922,                0.55957,                 0.8747,                 1.3905,                0.97602,                 1.3992,               0.009802,               0.009802,               0.009802
                      9,                 1.4407,                  2.671,                 1.4622,                  1.697,                0.79597,                0.70878,                0.73463,                0.56968,                0.80352,                0.71227,                 0.7386,                0.58686,                0.81449,                 1.3293,                0.90632,                 1.3384,               0.009769,               0.009769,               0.009769
                     10,                 1.4038,                 2.6296,                 1.4216,                 1.6616,                0.85083,                0.70884,                 0.7537,                 0.5814,                0.85988,                0.71351,                0.76292,                0.60375,                0.80045,                  1.278,                0.84264,                 1.3037,               0.009736,               0.009736,               0.009736
